subject,task,best_model,best_interval,best_score,fft
1,3_7_11,XGBClassifier,(1.0, 4.0),0.8823529411764706,False
2,3_7_11,LogisticRegression,(1.0, 4.0),0.9411764705882353,True
3,3_7_11,LinearDiscriminantAnalysis,(0.0, 3.0),0.7647058823529411,True
4,3_7_11,LogisticRegression,(-1.0, 4.0),1.0,False
5,3_7_11,RandomForestClassifier,(0.0, 4.0),0.9411764705882353,True
6,3_7_11,LinearDiscriminantAnalysis,(-1.0, 3.0),0.8235294117647058,False
7,3_7_11,RandomForestClassifier,(1.0, 4.0),0.9411764705882353,False
8,3_7_11,LogisticRegression,(0.0, 4.0),0.8823529411764706,False
9,3_7_11,LogisticRegression,(1.0, 3.0),0.9411764705882353,False
10,3_7_11,RandomForestClassifier,(1.0, 2.0),0.9411764705882353,False
11,3_7_11,RandomForestClassifier,(1.0, 2.0),0.8235294117647058,False
12,3_7_11,LogisticRegression,(0.0, 4.0),1.0,True
13,3_7_11,LogisticRegression,(0.0, 4.0),1.0,False
14,3_7_11,RandomForestClassifier,(0.0, 4.0),1.0,False
15,3_7_11,LogisticRegression,(1.0, 2.0),0.9411764705882353,False
16,3_7_11,XGBClassifier,(0.0, 4.0),0.7647058823529411,False
17,3_7_11,LogisticRegression,(1.0, 4.0),0.9411764705882353,False
18,3_7_11,LogisticRegression,(-1.0, 3.0),0.8823529411764706,False
19,3_7_11,RandomForestClassifier,(0.0, 3.0),0.8235294117647058,False
20,3_7_11,RandomForestClassifier,(0.0, 4.0),0.8333333333333334,False
21,3_7_11,LogisticRegression,(1.0, 4.0),1.0,False
22,3_7_11,LogisticRegression,(0.0, 2.0),1.0,False
23,3_7_11,RandomForestClassifier,(0.0, 3.0),0.8235294117647058,False
24,3_7_11,XGBClassifier,(0.0, 3.0),0.7647058823529411,True
25,3_7_11,LogisticRegression,(0.0, 3.0),1.0,False
26,3_7_11,LogisticRegression,(1.0, 3.0),0.8235294117647058,True
27,3_7_11,XGBClassifier,(1.0, 3.0),0.9411764705882353,False
28,3_7_11,LogisticRegression,(1.0, 4.0),0.9411764705882353,True
29,3_7_11,LinearDiscriminantAnalysis,(0.0, 4.0),1.0,False
30,3_7_11,RandomForestClassifier,(1.0, 4.0),0.8823529411764706,True
31,3_7_11,LogisticRegression,(1.0, 2.0),0.8235294117647058,True
32,3_7_11,LogisticRegression,(1.0, 4.0),1.0,False
33,3_7_11,XGBClassifier,(0.0, 4.0),0.9444444444444444,False
34,3_7_11,LogisticRegression,(0.0, 4.0),0.8823529411764706,True
35,3_7_11,LogisticRegression,(1.0, 3.0),0.7777777777777778,True
36,3_7_11,LogisticRegression,(0.0, 3.0),0.9411764705882353,False
37,3_7_11,GradientBoostingClassifier,(0.0, 4.0),0.9411764705882353,True
38,3_7_11,XGBClassifier,(1.0, 4.0),0.8235294117647058,False
39,3_7_11,LogisticRegression,(1.0, 4.0),0.8823529411764706,False
40,3_7_11,RandomForestClassifier,(0.0, 4.0),0.8823529411764706,False
41,3_7_11,LogisticRegression,(0.0, 4.0),1.0,True
42,3_7_11,LinearDiscriminantAnalysis,(0.0, 2.0),1.0,False
43,3_7_11,GradientBoostingClassifier,(0.0, 4.0),0.8823529411764706,True
44,3_7_11,LogisticRegression,(0.0, 3.0),0.8823529411764706,True
45,3_7_11,LogisticRegression,(0.0, 3.0),0.8823529411764706,False
46,3_7_11,LogisticRegression,(1.0, 2.0),1.0,False
47,3_7_11,LogisticRegression,(1.0, 4.0),1.0,False
48,3_7_11,RandomForestClassifier,(-1.0, 4.0),0.8823529411764706,True
49,3_7_11,LogisticRegression,(1.0, 3.0),0.9411764705882353,True
50,3_7_11,LogisticRegression,(1.0, 4.0),1.0,False
51,3_7_11,LogisticRegression,(-1.0, 2.0),1.0,False
52,3_7_11,LogisticRegression,(1.0, 4.0),0.9411764705882353,True
53,3_7_11,RandomForestClassifier,(1.0, 3.0),0.9411764705882353,False
54,3_7_11,LogisticRegression,(1.0, 3.0),1.0,True
55,3_7_11,LogisticRegression,(0.0, 4.0),1.0,False
56,3_7_11,LogisticRegression,(0.0, 4.0),1.0,True
57,3_7_11,LinearDiscriminantAnalysis,(0.0, 3.0),1.0,True
58,3_7_11,LogisticRegression,(0.0, 3.0),1.0,False
59,3_7_11,RandomForestClassifier,(0.0, 3.0),0.8235294117647058,False
60,3_7_11,LogisticRegression,(1.0, 3.0),1.0,False
61,3_7_11,LogisticRegression,(1.0, 3.0),0.9411764705882353,False
62,3_7_11,RandomForestClassifier,(0.0, 3.0),0.8235294117647058,False
63,3_7_11,LogisticRegression,(1.0, 4.0),0.9411764705882353,False
64,3_7_11,LogisticRegression,(0.0, 2.0),0.8823529411764706,False
65,3_7_11,LogisticRegression,(0.0, 3.0),0.8823529411764706,False
66,3_7_11,LogisticRegression,(0.0, 2.0),0.7647058823529411,True
67,3_7_11,LinearDiscriminantAnalysis,(-1.0, 2.0),0.8235294117647058,False
68,3_7_11,LogisticRegression,(1.0, 2.0),0.9411764705882353,False
69,3_7_11,XGBClassifier,(0.0, 4.0),0.9411764705882353,False
70,3_7_11,LinearDiscriminantAnalysis,(0.0, 4.0),0.9411764705882353,False
